cleaned_medical_abstract,condition_label
comparison functional structural brain disturbance wilson disease assessed functional structural brain disturbance wilson disease wd evoked potential eps magnetic resonance imaging mri neurologically symptomatic asymptomatic patient assessed eps imaging least abnormality either prolonged ep conduction time imagingoutlined presence cerebral lesion brain atrophy finding indicate eps mri sensitive technique evaluation brain involvement wd,nervous system diseases
optic nerve glioma meningioma optic nerve glioma benign astrocytic tumor primarily affect child ultimate prognosis visual sensation poor lesion confined optic nerve long term survival cost excellent involvement chiasm especially hypothalamus third ventricle prospect fall importantly group form therapy proven benefit optic sheath meningioma neoplasm arising arachnoid cap cell primarily affect middle age adult like glioma prognosis vision poor unlike glioma prognosis life story excellent,neoplasms
severe multisystem reaction sulindac present case severe reaction sulindac yearold woman quiescent systemic lupus erythematosus received sulindac nonspecific migrating chest pain initial course therapy produced unrecognized sensitization drug febrile illness rash readministration drug caused anaphylactoid reaction well evidence cardiovascular hepatic pulmonary hematologic dysfunction patient illness evidence type ii iii hypersensitivity reaction,general pathological conditions
occult subscript vena cava thrombosis diagnosis sonography case report ultrasonography become effective tool evaluating inferior vena cava source describe case illustrate difficulty diagnosing partially adherent clot may high propensity pulmonary embolism,cardiovascular diseases
control hypertensive emergency although uncommon hypertensive emergency require prompt recognition treatment reduce high morbidity mortality rate admission intensive care unit treatment monitoring essential optimal care swanganz catheter often helpful management intravenous nitroprusside sodium nipride nitropress probably drug choice hypertensive emergency due eclampsia pheochromocytoma,cardiovascular diseases
intrapartum intranasal cocain use acute foetal distress case theme intrapartum intranasal cocaine use relief labor pain level headed woman uncomplicated pregnancy fetal hypoxemia distress followed event causal relationship intrapartum use cocaine fetal distress postulated cocaine abuser could benefit hospitalization early labor near surveillance monitoring thus avoiding exposure cocaine information technology unpredictable systemic effect,nervous system diseases
brain abscess associated congenital pulmonary arteriovenous fistula case brain abscess associated congenital pulmonary arteriovenous fistula presented reported case reviewed brain abscess successfully treated repeated aspiration drainage pulmonary arteriovenous fistula located right lower lobe resected arteriovenous fistula occurs common pulmonary manifestation hereditary hemorrhagic telangiectasia however symptom suggesting two noted case brain abscess initial clinical manifestation asymptomatic pulmonary arteriovenous fistula possible association borne mind case brain abscess unexplained etiology,general pathological conditions
left ventricular pseudoaneurysm complicating mitral valve replacement yearold child acute bacterial endocarditis yearold child acute bacterial endocarditis required mitral valve replacement left ventricular pseudoaneurysm developed following surgery etiology diagnosis complication discussed,cardiovascular diseases
congenital chyloperitoneum cause isolated fetal ascites isolated fetal ascites unusual prenatal finding must differentiated immune nonimmune hydrops entity commonly associated gastrointestinal genitourinary anomaly fetal chyloperitoneum however considered possible cause pulmonary hypoplasia abdominal dystocia attempted vaginal delivery potential complication present case isolated fetal ascites due congenital chyloperitoneum,digestive system diseases
left alien hand sign mirror writing left anterior cerebral artery infarction yearold righthanded man admitted complaining peculiar movement left hand computed tomography scan magnetic resonance imaging showed infarct area territory left anterior cerebral artery abnormal movement left hand diagnosed socalled alien hand sign patient also exhibited mirror writing left hand clinical manifestation neuroradiological finding case described detail possible mechanism extremely rare combination alien hand sign mirror writing discussed,nervous system diseases
